occurrenceID	scientificName	decimalLatitude	decimalLongitude	accuracy	year	establishmentMeans	occurrenceOrigin	bibliographicCitation	associatedReferences	sourceCitation	associatedSequences	claimExtinction	occurrenceRemarks	confidentialityLevel	contributor
WA1418	Pontastacus leptodactylus	46.63824	21.55498	high	2023	indigenous	native	10.1016/j.gecco.2024.e02847		Ion, M.C., Ács, A.R., Laza, A.V., Lorincz, I., Livadariu, D., Lamoly, A.M., Goia, B., Togor, A., Iorgu, E.I., Ștefan, A., Popa, O.P., Pârvulescu, L. (2024). Conservation status of the idle crayfish Austropotamobius bihariensis Pârvulescu, 2019. Global Ecology and Conservation 50, e02847.			paper dataset: 001	0	Lucian Pârvulescu
WA1419	Pontastacus leptodactylus	46.51627	21.51749	high	2023	indigenous	native	10.1016/j.gecco.2024.e02847		Ion, M.C., Ács, A.R., Laza, A.V., Lorincz, I., Livadariu, D., Lamoly, A.M., Goia, B., Togor, A., Iorgu, E.I., Ștefan, A., Popa, O.P., Pârvulescu, L. (2024). Conservation status of the idle crayfish Austropotamobius bihariensis Pârvulescu, 2019. Global Ecology and Conservation 50, e02847.			paper dataset: 001	0	Lucian Pârvulescu
WA1420	Pontastacus leptodactylus	46.43006	21.96289	high	2023	indigenous	native	10.1016/j.gecco.2024.e02847		Ion, M.C., Ács, A.R., Laza, A.V., Lorincz, I., Livadariu, D., Lamoly, A.M., Goia, B., Togor, A., Iorgu, E.I., Ștefan, A., Popa, O.P., Pârvulescu, L. (2024). Conservation status of the idle crayfish Austropotamobius bihariensis Pârvulescu, 2019. Global Ecology and Conservation 50, e02847.			paper dataset: 001	0	Lucian Pârvulescu
WC0786	Pontastacus leptodactylus	50.76897	4.34719	low	1985	non-indigenous	alien	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0787	Pontastacus leptodactylus	50.84557	4.66583	low	1985	non-indigenous	alien	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0788	Pontastacus leptodactylus	50.76582	4.43237	low	1985	non-indigenous	alien	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0789	Pontastacus leptodactylus	50.77966	4.89987	low	1985	non-indigenous	alien	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0790	Pontastacus leptodactylus	48.0000000000897	13.1000003809586	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0791	Pontastacus leptodactylus	47.9666671749453	13.0833330149225	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0792	Pontastacus leptodactylus	47.9700012209805	13.1000003809586	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
