"species","scope","scenario","version_v1.0","version_v1.1","date","AOO_km2_v1.0","AOO_km2_v1.1","AOO_km2_delta_abs","AOO_km2_delta_pct","EOO_km2_v1.0","EOO_km2_v1.1","EOO_km2_delta_abs","EOO_km2_delta_pct","records_v1.0","records_v1.1","records_delta_abs","records_delta_pct","basins_count_v1.0","basins_count_v1.1","basins_count_delta_abs","basins_count_delta_pct","countries_count_v1.0","countries_count_v1.1","countries_count_delta_abs","countries_count_delta_pct","protected_areas_count_v1.0","protected_areas_count_v1.1","protected_areas_count_delta_abs","protected_areas_count_delta_pct","extinctions_count_v1.0","extinctions_count_v1.1","extinctions_count_delta_abs","extinctions_count_delta_pct","extinctions_count","suppressed","coverage_pct"
"Astacus astacus","indigenous",3,"1.0","1.1","2026-05-28",14812,14436,-376,-2.5385,4281968,4281968,0,0,5676,5459,-217,-3.8231,1062,1053,-9,-0.8475,30,30,0,0,1187,1183,-4,-0.337,0,110,110,NA,110,217,1.938
"Austropotamobius bihariensis","indigenous",1,"1.0","1.1","2026-05-28",188,176,-12,-6.383,3781,3389,-392,-10.3676,94,86,-8,-8.5106,21,21,0,0,1,1,0,0,12,12,0,0,0,3,3,NA,3,8,3.1915
"Austropotamobius fulcisianus","indigenous",3,"1.0","1.1","2026-05-28",1528,1516,-12,-0.7853,444186,444186,0,0,584,577,-7,-1.1986,119,118,-1,-0.8403,8,8,0,0,117,114,-3,-2.5641,0,7,7,NA,7,7,1.1986
"Austropotamobius pallipes","indigenous",3,"1.0","1.1","2026-05-28",11832,11832,0,0,625400,625400,0,0,4121,4118,-3,-0.0728,424,424,0,0,4,4,0,0,324,324,0,0,0,1,1,NA,1,3,0.0243
"Austropotamobius pallipes","non_indigenous",3,"1.0","1.1","2026-05-28",916,908,-8,-0.8734,747248,747248,0,0,292,288,-4,-1.3699,21,21,0,0,5,5,0,0,32,31,-1,-3.125,0,2,2,NA,2,4,0.6849
"Austropotamobius torrentium","indigenous",3,"1.0","1.1","2026-05-28",8824,8796,-28,-0.3173,1001710,1001710,0,0,2894,2872,-22,-0.7602,83,83,0,0,20,20,0,0,565,564,-1,-0.177,0,13,13,NA,13,22,0.4492
"Cambarus jonesi","indigenous",1,"1.0","1.1","2026-05-28",32,28,-4,-12.5,1449,1074,-375,-25.8799,10,8,-2,-20,8,7,-1,-12.5,0,0,0,0,0,0,0,0,0,1,1,NA,1,2,10
"Cambarus veitchorum","indigenous",1,"1.0","1.1","2026-05-28",4,0,-4,-100,0,0,0,0,1,0,-1,-100,1,0,-1,-100,0,0,0,0,0,0,0,0,0,1,1,NA,1,1,100
"Cherax destructor","non_indigenous",3,"1.0","1.1","2026-05-28",80,76,-4,-5,510066073,510066073,0,0,22,19,-3,-13.6364,17,16,-1,-5.8824,7,7,0,0,3,1,-2,-66.6667,0,2,2,NA,2,3,9.0909
"Faxonius limosus","non_indigenous",3,"1.0","1.1","2026-05-28",22636,22632,-4,-0.0177,4665930,4665930,0,0,7643,7641,-2,-0.0262,207,207,0,0,24,24,0,0,1621,1621,0,0,0,1,1,NA,1,2,0.0131
"Pacifastacus leniusculus","non_indigenous",3,"1.0","1.1","2026-05-28",20084,20080,-4,-0.0199,104940144,104940144,0,0,6678,6676,-2,-0.0299,235,234,-1,-0.4255,31,31,0,0,935,935,0,0,0,1,1,NA,1,2,0.015
"Pontastacus leptodactylus","indigenous",3,"1.0","1.1","2026-05-28",5112,5108,-4,-0.0782,13908817,13908817,0,0,1653,1651,-2,-0.121,328,328,0,0,23,23,0,0,375,375,0,0,0,1,1,NA,1,2,0.0605
"Pontastacus leptodactylus","non_indigenous",3,"1.0","1.1","2026-05-28",4268,4252,-16,-0.3749,7096521,7096521,0,0,1493,1485,-8,-0.5358,137,136,-1,-0.7299,20,20,0,0,309,309,0,0,0,4,4,NA,4,8,0.2679
"Procambarus clarkii","non_indigenous",3,"1.0","1.1","2026-05-28",51640,51636,-4,-0.0077,510066073,510066073,0,0,34596,34592,-4,-0.0116,734,734,0,0,50,50,0,0,1531,1531,0,0,0,1,1,NA,1,4,0.0029
"Procambarus virginalis","non_indigenous",2,"1.0","1.1","2026-05-28",624,616,-8,-1.2821,510066073,510066073,0,0,349,346,-3,-0.8596,54,53,-1,-1.8519,22,22,0,0,39,38,-1,-2.5641,0,2,2,NA,2,3,0.5731
